title,release_year,genres,vote_average,overview
Wild Target,2010,"Action, Comedy",6.4,"Victor Maynard is a middle-aged, solitary assassin, who lives to please his formidable mother, despite his own peerless reputation for lethal efficiency. His professional routine is interrupted when he finds himself drawn to one of his intended victims, Rose. He spares her life, unexpectedly acquiring in the process a young apprentice, Tony. Believing Victor to be a private detective, his two new companions tag along, while he attempts to thwart the murderous attentions of his unhappy client"
Carlos,2010,"Crime, Drama, Thriller, History",6.7,"The story of Venezuelan revolutionary, Ilich Ramirez Sanchez, who founded a worldwide terrorist organization and raided the OPEC headquarters in 1975 before being caught by the French police."
Katalin Varga,2009,"Thriller, Drama, Crime",7.0,"In the beautiful, otherworldly Carpathian Mountains a woman is traveling with a small boy in a horse and cart, looking to punish those who once abused her. For years, Katalin has been keeping a terrible secret. Hitchhiking with two men, she was brutally raped in the woods. Although she has kept silent about what happened, she has not forgotten, and her son Órban serves as a living reminder."
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Fantasy, Family",7.5,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever."
The King's Speech,2010,"Drama, History",7.6,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war."
Tangled,2010,"Animation, Family",7.4,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs."
The Lost Skeleton Returns Again,2010,"Comedy, Horror",7.0,"THE LOST SKELETON RETURNS AGAIN takes on a whole new series of clichés, primarily drawn from those low budget adventure epics -- rich in potted ferns and stock footage -- that thrived on cheap back lots from the early 30s to the late 50s. It also wanders beyond the narrow confines of jungle pictures, parodying everything from gangster movies to those Mondo films of the 1960s, with their salacious native dances."
The Art of the Steal,2009,Documentary,6.8,"A gripping tale of intrigue and mystery in the art world, this film traces the history of the Barnes collection of Post-Impressionist paintings, which was worth billions and became the subject of a power struggle after the 1951 death of the owner. Dr. Albert Barnes collected 181 Renoirs, 69 Cézannes, 59 Matisses, 46 Picassos and many other valuable paintings. But the political wrangling over the collection eventually led to its division."
Missing in America,2005,Drama,6.1,"A haunted Vietnam veteran, living in exile in the forests of the Pacific Northwest, is faced with a life-changing decision after he is visited by a former platoon member and his young Amerasian daughter."
The Fighter,2010,Drama,7.2,"The Fighter, is a drama about boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime."
The World Unseen,2007,Drama,7.3,A drama centered on two women who engage in a dangerous relationship during South Africa's apartheid era.
Cocaine Cowboys II: Hustlin' with the Godmother,2008,"Action, Documentary",6.3,"Set in 1991 on the inner-city streets of Oakland, California, cocaine dealer Charles Cosby has his life is changed forever when he writes a fan letter to the ""Cocaine Godmother"" Griselda Blanco, who is serving time at a nearby federal prison. Six months later, Cosby is a multi-millionaire, Blanco's lover, and the head of her $40 million a year cocaine business."
The Tillman Story,2010,Documentary,7.7,Pat Tillman never thought of himself as a hero. His choice to leave a multimillion-dollar football contract and join the military wasn't done for any reason other than he felt it was the right thing to do. The fact that the military manipulated his tragic death in the line of duty into a propaganda tool is unfathomable and thoroughly explored in Amir Bar-Lev's riveting and enraging documentary.
The Loved Ones,2009,Horror,6.6,"Lola Stone asked Brent Mitchell to the prom, but Brent said no, and now he's screwed. What happens when Lola doesn't get what she wants? She enlists Daddy's help to throw a prom of her own, where she is queen and Brent is king -- whether he likes it or not. THE LOVED ONES is what happens when puppy love goes horribly, violently wrong. Brent should have said yes..."
Casino Jack,2010,"Crime, Comedy, Drama",6.0,"Based on a true story, a hot shot Washington DC lobbyist and his protégé go down hard as their schemes to peddle influence lead to corruption and murder."
London River,2009,"Drama, Mystery",6.2,"After traveling to London to check on their missing children in the wake of the 2005 London terror attacks on the city, two strangers come to discover their respective children had been living together at the time of the attacks"
Sex & Drugs & Rock & Roll,2010,Drama,6.9,"A biography of Ian Dury, who was stricken with polio at a young age and defied expectations by becoming one of the founders of the punk-rock scene in Britain in the 1970s."
October Country,2009,Documentary,8.5,"October Country is a beautifully filmed portrait of an American family struggling for stability while haunted by the ghosts of war, teen pregnancy, foster care and child abuse. With rarely seen intimacy, sensitivity and respect, this vibrant documentary examines the forces that unsettle the working poor and the violence that lurks beneath the surface of American life."
Reverse,2009,"Comedy, Drama, Thriller, Romance",7.7,"A story about women, set in the present and in 1950s Warsaw. Sabina, a quiet, shy woman who has just turned thirty lacks a man in her life. Her mother knows all about it and tries at all costs to find her daughter a good candidate for a husband. The whole situation is controlled by the grandmother, an eccentric lady with a sharp tongue from whom no secrets can be kept."
